mineral,category,color,amount,value,pill_text,pill_title
Quantainium,legendary,"rgb(255, 170, 51)",1,3170,"3,170","Quantainium ×1 = 3,170"
Quantainium,legendary,"rgb(255, 170, 51)",2,6340,"6,340","Quantainium ×2 = 6,340"
Stileron,legendary,"rgb(255, 170, 51)",1,3185,"3,185","Stileron ×1 = 3,185"
Stileron,legendary,"rgb(255, 170, 51)",2,6370,"6,370","Stileron ×2 = 6,370"
Savrilium,legendary,"rgb(255, 170, 51)",1,3200,"3,200","Savrilium ×1 = 3,200"
Savrilium,legendary,"rgb(255, 170, 51)",2,6400,"6,400","Savrilium ×2 = 6,400"
Ouratite,epic,"rgb(204, 102, 255)",1,3370,"3,370","Ouratite ×1 = 3,370"
Ouratite,epic,"rgb(204, 102, 255)",2,6740,"6,740","Ouratite ×2 = 6,740"
Ouratite,epic,"rgb(204, 102, 255)",3,10110,"10,110","Ouratite ×3 = 10,110"
Riccite,epic,"rgb(204, 102, 255)",1,3385,"3,385","Riccite ×1 = 3,385"
Riccite,epic,"rgb(204, 102, 255)",2,6770,"6,770","Riccite ×2 = 6,770"
Riccite,epic,"rgb(204, 102, 255)",3,10155,"10,155","Riccite ×3 = 10,155"
Lindinium,epic,"rgb(204, 102, 255)",1,3400,"3,400","Lindinium ×1 = 3,400"
Lindinium,epic,"rgb(204, 102, 255)",2,6800,"6,800","Lindinium ×2 = 6,800"
Lindinium,epic,"rgb(204, 102, 255)",3,10200,"10,200","Lindinium ×3 = 10,200"
Beryl,rare,"rgb(51, 153, 255)",1,3540,"3,540","Beryl ×1 = 3,540"
Beryl,rare,"rgb(51, 153, 255)",2,7080,"7,080","Beryl ×2 = 7,080"
Beryl,rare,"rgb(51, 153, 255)",3,10620,"10,620","Beryl ×3 = 10,620"
Beryl,rare,"rgb(51, 153, 255)",4,14160,"14,160","Beryl ×4 = 14,160"
Taranite,rare,"rgb(51, 153, 255)",1,3555,"3,555","Taranite ×1 = 3,555"
Taranite,rare,"rgb(51, 153, 255)",2,7110,"7,110","Taranite ×2 = 7,110"
Taranite,rare,"rgb(51, 153, 255)",3,10665,"10,665","Taranite ×3 = 10,665"
Taranite,rare,"rgb(51, 153, 255)",4,14220,"14,220","Taranite ×4 = 14,220"
Borase,rare,"rgb(51, 153, 255)",1,3570,"3,570","Borase ×1 = 3,570"
Borase,rare,"rgb(51, 153, 255)",2,7140,"7,140","Borase ×2 = 7,140"
Borase,rare,"rgb(51, 153, 255)",3,10710,"10,710","Borase ×3 = 10,710"
Borase,rare,"rgb(51, 153, 255)",4,14280,"14,280","Borase ×4 = 14,280"
Gold,rare,"rgb(51, 153, 255)",1,3585,"3,585","Gold ×1 = 3,585"
Gold,rare,"rgb(51, 153, 255)",2,7170,"7,170","Gold ×2 = 7,170"
Gold,rare,"rgb(51, 153, 255)",3,10755,"10,755","Gold ×3 = 10,755"
Gold,rare,"rgb(51, 153, 255)",4,14340,"14,340","Gold ×4 = 14,340"
Bexalite,rare,"rgb(51, 153, 255)",1,3600,"3,600","Bexalite ×1 = 3,600"
Bexalite,rare,"rgb(51, 153, 255)",2,7200,"7,200","Bexalite ×2 = 7,200"
Bexalite,rare,"rgb(51, 153, 255)",3,10800,"10,800","Bexalite ×3 = 10,800"
Bexalite,rare,"rgb(51, 153, 255)",4,14400,"14,400","Bexalite ×4 = 14,400"
Laranite,uncommon,"rgb(51, 204, 170)",1,3825,"3,825","Laranite ×1 = 3,825"
Laranite,uncommon,"rgb(51, 204, 170)",2,7650,"7,650","Laranite ×2 = 7,650"
Laranite,uncommon,"rgb(51, 204, 170)",3,11475,"11,475","Laranite ×3 = 11,475"
Laranite,uncommon,"rgb(51, 204, 170)",4,15300,"15,300","Laranite ×4 = 15,300"
Laranite,uncommon,"rgb(51, 204, 170)",5,19125,"19,125","Laranite ×5 = 19,125"
Aslarite,uncommon,"rgb(51, 204, 170)",1,3840,"3,840","Aslarite ×1 = 3,840"
Aslarite,uncommon,"rgb(51, 204, 170)",2,7680,"7,680","Aslarite ×2 = 7,680"
Aslarite,uncommon,"rgb(51, 204, 170)",3,11520,"11,520","Aslarite ×3 = 11,520"
Aslarite,uncommon,"rgb(51, 204, 170)",4,15360,"15,360","Aslarite ×4 = 15,360"
Aslarite,uncommon,"rgb(51, 204, 170)",5,19200,"19,200","Aslarite ×5 = 19,200"
Titanium,uncommon,"rgb(51, 204, 170)",1,3855,"3,855","Titanium ×1 = 3,855"
Titanium,uncommon,"rgb(51, 204, 170)",2,7710,"7,710","Titanium ×2 = 7,710"
Titanium,uncommon,"rgb(51, 204, 170)",3,11565,"11,565","Titanium ×3 = 11,565"
Titanium,uncommon,"rgb(51, 204, 170)",4,15420,"15,420","Titanium ×4 = 15,420"
Titanium,uncommon,"rgb(51, 204, 170)",5,19275,"19,275","Titanium ×5 = 19,275"
Tungsten,uncommon,"rgb(51, 204, 170)",1,3870,"3,870","Tungsten ×1 = 3,870"
Tungsten,uncommon,"rgb(51, 204, 170)",2,7740,"7,740","Tungsten ×2 = 7,740"
Tungsten,uncommon,"rgb(51, 204, 170)",3,11610,"11,610","Tungsten ×3 = 11,610"
Tungsten,uncommon,"rgb(51, 204, 170)",4,15480,"15,480","Tungsten ×4 = 15,480"
Tungsten,uncommon,"rgb(51, 204, 170)",5,19350,"19,350","Tungsten ×5 = 19,350"
Agricium,uncommon,"rgb(51, 204, 170)",1,3885,"3,885","Agricium ×1 = 3,885"
Agricium,uncommon,"rgb(51, 204, 170)",2,7770,"7,770","Agricium ×2 = 7,770"
Agricium,uncommon,"rgb(51, 204, 170)",3,11655,"11,655","Agricium ×3 = 11,655"
Agricium,uncommon,"rgb(51, 204, 170)",4,15540,"15,540","Agricium ×4 = 15,540"
Agricium,uncommon,"rgb(51, 204, 170)",5,19425,"19,425","Agricium ×5 = 19,425"
Torite,uncommon,"rgb(51, 204, 170)",1,3900,"3,900","Torite ×1 = 3,900"
Torite,uncommon,"rgb(51, 204, 170)",2,7800,"7,800","Torite ×2 = 7,800"
Torite,uncommon,"rgb(51, 204, 170)",3,11700,"11,700","Torite ×3 = 11,700"
Torite,uncommon,"rgb(51, 204, 170)",4,15600,"15,600","Torite ×4 = 15,600"
Torite,uncommon,"rgb(51, 204, 170)",5,19500,"19,500","Torite ×5 = 19,500"
Hephaestanite,common,"rgb(136, 153, 170)",1,4180,"4,180","Hephaestanite ×1 = 4,180"
Hephaestanite,common,"rgb(136, 153, 170)",2,8360,"8,360","Hephaestanite ×2 = 8,360"
Hephaestanite,common,"rgb(136, 153, 170)",3,12540,"12,540","Hephaestanite ×3 = 12,540"
Hephaestanite,common,"rgb(136, 153, 170)",4,16720,"16,720","Hephaestanite ×4 = 16,720"
Hephaestanite,common,"rgb(136, 153, 170)",5,20900,"20,900","Hephaestanite ×5 = 20,900"
Hephaestanite,common,"rgb(136, 153, 170)",6,25080,"25,080","Hephaestanite ×6 = 25,080"
Tin,common,"rgb(136, 153, 170)",1,4195,"4,195","Tin ×1 = 4,195"
Tin,common,"rgb(136, 153, 170)",2,8390,"8,390","Tin ×2 = 8,390"
Tin,common,"rgb(136, 153, 170)",3,12585,"12,585","Tin ×3 = 12,585"
Tin,common,"rgb(136, 153, 170)",4,16780,"16,780","Tin ×4 = 16,780"
Tin,common,"rgb(136, 153, 170)",5,20975,"20,975","Tin ×5 = 20,975"
Tin,common,"rgb(136, 153, 170)",6,25170,"25,170","Tin ×6 = 25,170"
Tin,common,"rgb(136, 153, 170)",1,1700,"1,700","Tin (Salvage) ×1 = 1,700"
Quartz,common,"rgb(136, 153, 170)",1,4210,"4,210","Quartz ×1 = 4,210"
Quartz,common,"rgb(136, 153, 170)",2,8420,"8,420","Quartz ×2 = 8,420"
Quartz,common,"rgb(136, 153, 170)",3,12630,"12,630","Quartz ×3 = 12,630"
Quartz,common,"rgb(136, 153, 170)",4,16840,"16,840","Quartz ×4 = 16,840"
Quartz,common,"rgb(136, 153, 170)",5,21050,"21,050","Quartz ×5 = 21,050"
Quartz,common,"rgb(136, 153, 170)",6,25260,"25,260","Quartz ×6 = 25,260"
Corundum,common,"rgb(136, 153, 170)",1,4225,"4,225","Corundum ×1 = 4,225"
Corundum,common,"rgb(136, 153, 170)",2,8450,"8,450","Corundum ×2 = 8,450"
Corundum,common,"rgb(136, 153, 170)",3,12675,"12,675","Corundum ×3 = 12,675"
Corundum,common,"rgb(136, 153, 170)",4,16900,"16,900","Corundum ×4 = 16,900"
Corundum,common,"rgb(136, 153, 170)",5,21125,"21,125","Corundum ×5 = 21,125"
Corundum,common,"rgb(136, 153, 170)",6,25350,"25,350","Corundum ×6 = 25,350"
Copper,common,"rgb(136, 153, 170)",1,4240,"4,240","Copper ×1 = 4,240"
Copper,common,"rgb(136, 153, 170)",2,8480,"8,480","Copper ×2 = 8,480"
Copper,common,"rgb(136, 153, 170)",3,12720,"12,720","Copper ×3 = 12,720"
Copper,common,"rgb(136, 153, 170)",4,16960,"16,960","Copper ×4 = 16,960"
Copper,common,"rgb(136, 153, 170)",5,21200,"21,200","Copper ×5 = 21,200"
Copper,common,"rgb(136, 153, 170)",6,25440,"25,440","Copper ×6 = 25,440"
Silicon,common,"rgb(136, 153, 170)",1,4255,"4,255","Silicon ×1 = 4,255"
Silicon,common,"rgb(136, 153, 170)",2,8510,"8,510","Silicon ×2 = 8,510"
Silicon,common,"rgb(136, 153, 170)",3,12765,"12,765","Silicon ×3 = 12,765"
Silicon,common,"rgb(136, 153, 170)",4,17020,"17,020","Silicon ×4 = 17,020"
Silicon,common,"rgb(136, 153, 170)",5,21275,"21,275","Silicon ×5 = 21,275"
Silicon,common,"rgb(136, 153, 170)",6,25530,"25,530","Silicon ×6 = 25,530"
Iron,common,"rgb(136, 153, 170)",1,4270,"4,270","Iron ×1 = 4,270"
Iron,common,"rgb(136, 153, 170)",2,8540,"8,540","Iron ×2 = 8,540"
Iron,common,"rgb(136, 153, 170)",3,12810,"12,810","Iron ×3 = 12,810"
Iron,common,"rgb(136, 153, 170)",4,17080,"17,080","Iron ×4 = 17,080"
Iron,common,"rgb(136, 153, 170)",5,21350,"21,350","Iron ×5 = 21,350"
Iron,common,"rgb(136, 153, 170)",6,25620,"25,620","Iron ×6 = 25,620"
Aluminium,common,"rgb(136, 153, 170)",1,4285,"4,285","Aluminium ×1 = 4,285"
Aluminium,common,"rgb(136, 153, 170)",2,8570,"8,570","Aluminium ×2 = 8,570"
Aluminium,common,"rgb(136, 153, 170)",3,12855,"12,855","Aluminium ×3 = 12,855"
Aluminium,common,"rgb(136, 153, 170)",4,17140,"17,140","Aluminium ×4 = 17,140"
